Programme,Deadline,Apply
Doctor of Psychology in the field of Clinical Psychology,"12:00 noon (GMT +8), May 31, 2023",Full Time / Part Time
Doctor of Psychology in the field of Educational Psychology,"12:00 noon (GMT +8), May 31, 2023",Full Time / Part Time
Master of Arts in China Development Studies,"12:00 noon (GMT +8), February 29, 2024",Full Time / Part Time
Master of Arts in Transport Policy and Planning,"12:00 noon (GMT +8), February 29, 2024",Full Time / Part Time
Master of Expressive Arts Therapy,"12:00 noon (GMT +8), January 31, 2024",Full Time / Part Time
Master of Family Wealth Management,"Round 1: 12:00 noon (GMT +8), February 29, 2024  Round 2: 12:00 noon (GMT +8), April 30, 2024",Full Time
Master of International and Public Affairs,"12:00 noon (GMT +8), January 31, 2024",Full Time / Part Time
Master of Journalism,"12:00 noon (GMT +8), January 31, 2024",Full Time / Part Time
Master of Public Administration,"12:00 noon (GMT +8), March 15, 2024",Full Time / Part Time
Master of Social Sciences in the field of Behavioral Health,"Full Time: Round 1: 12:00 noon (GMT +8), November 30, 2023 Round 2: 12:00 noon (GMT +8), January 31, 2024 Part Time: Round 1: 12:00 noon (GMT +8), November 30, 2023 Round 2: 12:00 noon (GMT +8), January 31, 2024 Round 3: 12:00 noon (GMT +8), May 6, 2024",Full Time / Part Time
Master of Social Sciences in the field of Clinical Psychology,"12:00 noon (GMT +8), February 9, 2024",Full Time
Master of Social Sciences in the field of Criminology,"12:00 noon (GMT +8), January 31, 2024",Full Time / Part Time
Master of Social Sciences in the field of Educational Psychology,"12:00noon (GMT +8), February 9, 2024",Full Time
"Master of Social Sciences in the field of Media, Culture and Creative Cities","12:00 noon (GMT +8), February 14, 2024",Full Time / Part Time
Master of Social Sciences in the field of Nonprofit Management,"Full Time: Round 1: 12:00 noon (GMT +8), November 17, 2023 Round 2: 12:00 noon (GMT +8), February 9, 2024 Round 3: 12:00 noon (GMT +8), March 28, 2024 Part Time: Round 1: 12:00 noon (GMT +8), November 17, 2023 Round 2: 12:00 noon (GMT +8), February 9, 2024 Round 3: 12:00 noon (GMT +8), March 28, 2024 Round 4: 12:00 noon (GMT +8), May 31, 2024",Full Time / Part Time
Master of Social Sciences in the field of Psychology,"12:00 noon (GMT +8), December 1, 2023",Full Time / Part Time
Master of Social Sciences in the field of Social Data Analytics,"Round 1: 12:00 noon (GMT +8), February 28, 2024  Round 2: 12:00 noon (GMT +8), April 30, 2024",Full Time / Part Time
Master of Social Sciences in the field of Sustainability Leadership and Governance (Formerly known as Corporate Environmental Governance),"Overseas Students: 12:00 noon (GMT +8), February 29, 2024 Local Students: 12:00 noon (GMT +8), April 2, 2024",Full Time / Part Time
Master of Social Work,"Round 1: 12:00 noon (GMT +8), November 6, 2023 Round 2: 12:00 noon (GMT +8), February 26, 2024",Full Time / Part Time
